number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,high_winds,pedestrian_in_carriageway,rushhour,nighttime,weekend
2,2,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,16 - 20,0,Car driver,False,False,False,False,False
2,1,Unclassified,Single carriageway,20,Roundabout,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,56 - 65,0,Large vehicle driver,False,False,False,False,False
2,1,Unclassified,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,26 - 35,0,Motorcycle rider,False,False,True,False,False
1,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,6 - 10,0,Pedestrian,False,True,False,False,False
1,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,6 - 10,0,Pedestrian,False,True,False,False,False
1,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Female,11 - 15,0,Pedestrian,False,True,False,False,True
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Female,Over 75,0,Pedestrian,False,False,False,False,True
1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Male,11 - 15,1,Motorcycle rider,False,False,False,False,True
2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,16 - 20,1,Cyclist,False,False,False,False,True
2,3+,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,Over 75,0,Car driver,False,False,True,False,False
2,3+,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,Over 75,0,Car driver,False,False,True,False,False
2,3+,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,Over 75,0,Car driver,False,False,True,False,False
3+,1,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,46 - 55,0,Car driver,False,False,True,False,False
2,1,A,Dual carriageway,30,Crossroads,B,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Male,21 - 25,0,Cyclist,False,False,False,False,True
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Male,21 - 25,1,Car driver,False,False,False,True,True
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Male,21 - 25,1,Car driver,False,False,False,True,True
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Male,21 - 25,1,Car driver,False,False,False,True,True
2,3+,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Male,21 - 25,1,Car driver,False,False,False,True,True
