accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2020,2,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,1,Not car passenger,Cyclist,15,1,15,False,False
2022,1,1,Unclassified,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,17,12,28,False,False
2019,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,20,10,18,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,66 - 75,0,Not car passenger,Mobility scooter rider,12,12,7,False,False
2023,2,2,B,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,18,5,24,False,False
2023,2,2,B,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,18,5,24,False,False
2020,1,1,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,15,2,25,False,False
2019,2,2,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,6,13,False,False
2019,2,2,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,6,13,False,False
2022,2,2,Unclassified,Single carriageway,40,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,8,2,11,False,False
2022,2,2,Unclassified,Single carriageway,40,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,8,2,11,False,False
2021,2,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,4,1,False,False
2019,2,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Trunk (Roads managed by Highways England),Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,6,1,24,False,False
2021,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Male,36 - 45,0,Not car passenger,Pedestrian,8,10,15,False,True
2021,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Male,36 - 45,0,Not car passenger,Pedestrian,8,10,15,False,True
2020,2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,20,12,15,False,False
2022,1,1,B,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Pedestrian,Female,46 - 55,0,Not car passenger,Pedestrian,15,7,6,False,True
2022,1,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,22,9,3,False,False
2022,1,1,B,Dual carriageway,30,Other,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Car occupant,21,2,13,False,False
2023,2,1,Motorway,Slip road,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,16,7,16,False,False
2021,2,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,56 - 65,0,Not car passenger,Car occupant,16,8,13,False,False
2023,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Large Vehicle,23,12,14,False,False
2022,2,2,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,23,11,22,False,False
2022,2,2,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,23,11,22,False,False
2021,2,2,A,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,1,5,9,False,False
2021,2,2,A,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,1,5,9,False,False
2019,1,2,B,Single carriageway,30,Other,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,46 - 55,0,Not car passenger,Pedestrian,11,2,4,False,False
