accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2021,1,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,17,10,23,False,False
2022,2,1,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,21 - 25,0,Front seat passenger,Car occupant,12,8,7,False,False
2021,3,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,1,Not car passenger,Car occupant,19,5,5,False,False
2023,3,1,A,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,66 - 75,1,Not car passenger,Car occupant,14,12,15,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,11,6,10,False,False
2022,2,1,Unclassified,Single carriageway,30,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Cyclist,21,11,8,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Car occupant,10,4,5,False,False
2020,2,1,Unclassified,Single carriageway,30,Other,B,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,21,8,18,False,False
2020,2,1,A,Single carriageway,30,Crossroads,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Motorcycle,13,12,2,False,False
2019,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,21 - 25,0,Not car passenger,Pedestrian,10,8,25,False,True
2021,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Cyclist,18,10,11,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Cyclist,20,2,5,False,False
2022,2,2,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Trunk (Roads managed by Highways England),Passenger,Male,36 - 45,0,Front seat passenger,Car occupant,10,11,17,False,False
2022,2,2,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Trunk (Roads managed by Highways England),Passenger,Male,36 - 45,0,Front seat passenger,Car occupant,10,11,17,False,False
2022,2,1,Unclassified,Single carriageway,20,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,15,8,22,False,False
2020,3,5,Unclassified,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,10,22,False,False
2020,3,5,Unclassified,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,10,22,False,False
2020,3,5,Unclassified,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,10,22,False,False
2020,3,5,Unclassified,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,10,22,False,False
2020,3,5,Unclassified,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,10,22,False,False
2021,2,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,20,1,10,False,False
2020,2,5,Unclassified,Roundabout,40,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Male,Over 75,0,Front seat passenger,Car occupant,19,3,7,False,False
2020,2,5,Unclassified,Roundabout,40,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Male,Over 75,0,Front seat passenger,Car occupant,19,3,7,False,False
2020,2,5,Unclassified,Roundabout,40,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Male,Over 75,0,Front seat passenger,Car occupant,19,3,7,False,False
2020,2,5,Unclassified,Roundabout,40,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Male,Over 75,0,Front seat passenger,Car occupant,19,3,7,False,False
2020,2,5,Unclassified,Roundabout,40,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Male,Over 75,0,Front seat passenger,Car occupant,19,3,7,False,False
2021,3,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,1,1,22,False,False
2023,2,1,Unclassified,Dual carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,7,4,False,False
2020,2,2,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,13,10,18,False,False
2020,2,2,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,13,10,18,False,False
2020,2,4,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,1,4,False,False
2020,2,4,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,1,4,False,False
2020,2,4,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,1,4,False,False
2020,2,4,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,1,4,False,False
2022,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,14,2,22,False,False
2020,2,1,A,Roundabout,40,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,19,2,18,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,16,3,21,False,False
2020,2,1,A,Single carriageway,40,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,Over 75,0,Front seat passenger,Car occupant,13,5,30,False,False
2022,2,1,A,Roundabout,30,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,19,1,6,False,False
2019,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,12,12,2,False,True
2020,1,1,Unclassified,Single carriageway,30,T or staggered junction,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,11 - 15,1,Not car passenger,Pedestrian,13,3,7,False,True
2023,2,1,A,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Cyclist,15,10,13,False,False
2019,2,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,10,8,17,False,False
2021,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Motorcycle,15,3,25,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,13,8,26,False,False
2019,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Motorcycle,11,10,12,False,False
2020,2,3,Unclassified,Slip road,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,9,7,9,False,False
2020,2,3,Unclassified,Slip road,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,9,7,9,False,False
2020,2,3,Unclassified,Slip road,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,9,7,9,False,False
2021,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,0 - 5,1,Not car passenger,Pedestrian,16,6,26,False,True
2022,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,10,9,28,False,False
2021,1,2,Unclassified,Single carriageway,30,Crossroads,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,21 - 25,0,Not car passenger,Pedestrian,8,12,17,False,True
2021,1,2,Unclassified,Single carriageway,30,Crossroads,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,21 - 25,0,Not car passenger,Pedestrian,8,12,17,False,True
2019,2,1,A,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,18,11,19,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,18,3,20,False,False
2019,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,17,2,6,False,True
2020,2,3,Motorway,Slip road,70,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,18,1,10,False,False
2020,2,3,Motorway,Slip road,70,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,18,1,10,False,False
2020,2,3,Motorway,Slip road,70,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,18,1,10,False,False
2021,3,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Large Vehicle,13,6,10,False,False
2019,2,1,A,Dual carriageway,40,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,18,10,15,False,False
2021,2,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,Over 75,0,Not car passenger,Motorcycle,15,8,12,False,False
2022,2,2,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,6 - 10,0,Front seat passenger,Car occupant,15,5,27,False,False
2022,2,2,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,6 - 10,0,Front seat passenger,Car occupant,15,5,27,False,False
2023,2,1,Unclassified,Single carriageway,30,T or staggered junction,B,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,16,11,6,False,False
2020,1,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,20,1,31,False,True
2020,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Pedestrian,Male,16 - 20,1,Not car passenger,Pedestrian,8,10,7,False,True
2022,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Pedestrian,Male,6 - 10,1,Not car passenger,Pedestrian,14,4,16,False,True
2023,1,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Pedestrian,Male,26 - 35,1,Not car passenger,Pedestrian,21,9,24,False,True
2023,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Car occupant,19,3,4,False,False
2021,2,1,A,Dual carriageway,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,19,7,19,False,False
2021,2,1,Unclassified,Single carriageway,30,Other,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Cyclist,16,9,20,False,False
2021,2,1,A,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,56 - 65,1,Not car passenger,Motorcycle,5,9,15,False,False
2022,2,1,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Motorcycle,12,9,16,False,False
2023,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,17,6,3,False,False
2023,2,1,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,20,11,25,False,False
2023,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,66 - 75,1,Not car passenger,Pedestrian,13,10,28,False,True
2022,2,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Car occupant,0,5,29,False,False
2021,6,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,1,Not car passenger,Car occupant,21,5,22,False,False
2023,2,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,18,12,8,False,False
2020,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,16 - 20,0,Not car passenger,Pedestrian,19,6,16,False,False
2020,2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Other,10,8,19,False,False
2020,2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,9,1,31,False,False
2020,2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,9,1,31,False,False
2022,2,1,B,Single carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,19,9,15,False,False
2021,2,1,Unclassified,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,1,Not car passenger,Car occupant,7,8,11,False,False
2020,2,2,A,Single carriageway,30,Crossroads,Unclassified,Central refuge,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,17,11,18,False,False
2020,2,2,A,Single carriageway,30,Crossroads,Unclassified,Central refuge,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,17,11,18,False,False
2021,3,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,17,10,1,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Cyclist,20,8,20,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,16,11,19,False,False
2019,3,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,Over 75,0,Not car passenger,Car occupant,17,5,26,False,False
2020,2,1,A,Dual carriageway,40,Slip road,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Motorcycle,21,7,31,False,False
2019,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Pedestrian,Female,56 - 65,0,Not car passenger,Pedestrian,15,8,21,False,True
2022,2,1,B,Roundabout,30,Mini-roundabout,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Cyclist,7,7,5,False,False
2022,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,20,2,4,False,False
2022,2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,7,1,6,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,13,11,4,False,False
2023,2,1,A,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,36 - 45,1,Front seat passenger,Car occupant,14,9,20,False,False
2023,3,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,16,3,30,False,False
2022,2,1,Unclassified,Roundabout,30,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Cyclist,18,6,21,False,False
2019,1,1,A,Single carriageway,30,Other,B,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Pedestrian,Male,66 - 75,0,Not car passenger,Pedestrian,13,1,16,False,True
2021,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,8,10,5,False,False
2019,1,2,Unclassified,Single carriageway,60,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Female,16 - 20,0,Rear seat passenger,Car occupant,18,12,18,False,False
2019,1,2,Unclassified,Single carriageway,60,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Female,16 - 20,0,Rear seat passenger,Car occupant,18,12,18,False,False
2019,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,11 - 15,1,Not car passenger,Pedestrian,16,9,24,False,False
2022,1,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,16 - 20,1,Not car passenger,Pedestrian,8,11,8,False,True
2023,2,2,Unclassified,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,17,6,13,False,False
2023,2,2,Unclassified,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,17,6,13,False,False
2022,2,5,Unclassified,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Large Vehicle,9,2,12,True,False
2022,2,5,Unclassified,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Large Vehicle,9,2,12,True,False
2022,2,5,Unclassified,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Large Vehicle,9,2,12,True,False
2022,2,5,Unclassified,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Large Vehicle,9,2,12,True,False
2022,2,5,Unclassified,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Large Vehicle,9,2,12,True,False
2023,2,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Car occupant,6,10,20,True,False
2019,2,3,A,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,16 - 20,0,Rear seat passenger,Car occupant,15,6,28,False,False
2019,2,3,A,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,16 - 20,0,Rear seat passenger,Car occupant,15,6,28,False,False
2019,2,3,A,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,16 - 20,0,Rear seat passenger,Car occupant,15,6,28,False,False
2019,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,13,7,30,False,False
2020,2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Cyclist,10,3,23,False,False
2020,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Zebra,Daylight,Urban,Non-trunk,Passenger,Female,46 - 55,0,Front seat passenger,Car occupant,7,10,14,False,False
2019,2,2,A,Dual carriageway,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,21,7,11,False,False
2019,2,2,A,Dual carriageway,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,21,7,11,False,False
2019,2,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Large Vehicle,17,6,10,False,False
